time,X_value,Y_value,Z_value
1.607,2.41894,-6.91680,-0.01981
1.618,1.53746,-3.10683,-0.04424
1.628,-0.02819,1.46366,0.54035
1.638,-1.16501,3.05619,0.87450
1.648,-1.21571,2.78435,0.85006
1.659,-0.89989,2.48625,0.68207
1.669,-0.51077,2.19975,0.39863
1.680,-0.07644,1.80086,0.13230
1.690,0.30351,1.23275,0.03517
1.700,0.52220,0.66954,0.03456
1.711,0.55641,0.62555,0.03517
1.721,0.52587,0.79599,0.04189
1.731,0.36338,0.94565,0.08159
1.742,0.13491,0.74528,0.15429
1.752,-0.25054,0.90533,-0.00943
1.762,-0.59507,1.12158,0.06754
1.773,-0.92677,1.22115,0.17994
1.783,-1.13263,1.18022,0.21110
1.793,-1.27191,0.94565,0.19277
1.804,-1.34216,0.64144,0.18055
1.814,-1.37514,0.34639,0.14085
1.825,-1.33605,-0.10809,0.11886
1.835,-1.22060,-0.55952,0.05044
1.845,-1.06055,-1.23270,-0.30264
1.856,-0.83942,-1.70062,-0.70520
1.866,-0.63844,-1.87227,-1.11631
1.877,-0.44052,-1.94497,-1.42052
1.887,-0.18396,-1.71345,-1.57202
1.897,-0.06362,-0.86496,-1.58240
1.908,-0.13264,-0.61023,-1.20672
1.918,-0.39409,-0.62489,-0.53782
1.928,-0.46801,0.16374,0.34427
1.939,-0.46007,1.13685,0.78409
1.949,-0.46862,1.57789,0.94047
1.960,-0.26887,1.37448,0.79570
1.970,0.37926,-0.03723,0.05044
1.981,1.47149,-0.59679,0.26852
1.991,2.18070,0.14847,0.70834
2.001,2.92046,-1.16489,0.84579
2.012,3.58508,-4.58207,0.58067
2.022,3.13426,-4.72563,0.88977
2.033,1.55029,0.16863,0.64176
2.043,0.03168,3.15454,0.85067
2.054,-0.87668,3.84298,0.84151
2.065,-1.09964,3.14904,0.50004
2.075,-0.52299,1.33110,0.12985
2.085,-0.13448,0.66526,0.02234
2.095,0.03168,0.26026,0.00585
2.106,-0.16746,0.30668,0.10969
2.116,-0.51260,0.47650,0.25630
2.127,-0.72091,0.63594,0.35404
2.137,-0.71113,0.56264,0.60694
2.148,-0.67631,0.75933,0.43101
2.158,-0.55109,0.90472,0.38336
2.168,-0.34706,1.03606,0.43345
2.179,-0.21084,1.10753,0.45239
2.189,-0.08927,1.18572,0.48476
2.200,0.05550,1.12769,0.49026
2.210,0.29863,0.83142,0.56112
2.220,0.52770,0.46368,0.51836
2.231,0.72929,0.17962,0.55990
2.241,1.00784,-0.15330,0.50187
2.252,1.35481,-0.62061,0.29356
2.262,1.66696,-0.99263,-0.06074
2.272,2.03837,-1.05799,-0.83165
2.282,2.25584,-0.75744,-1.59218
2.293,2.37129,-0.49355,-2.07659
2.303,2.13122,-0.63405,-2.08515
2.313,1.53746,-0.81975,-1.67037
2.323,1.06771,-0.24187,-0.98559
2.334,0.64499,0.59440,-0.47674
2.344,0.33100,1.47954,-0.22140
2.354,0.06528,2.49725,-0.00148
2.365,-0.17235,2.14783,-0.04852
2.375,-0.18457,1.30056,-0.18719
2.385,0.91071,-2.67617,0.24958
2.396,2.70544,-6.82273,1.66679
2.406,2.40672,-6.32976,1.15916
2.416,0.48494,-1.51125,0.93192
2.427,-1.19127,3.67072,1.06509
2.437,-1.86567,4.74584,0.92886
2.448,-1.74166,3.90468,0.57823
2.458,-0.62011,2.01649,0.04616
2.468,0.20700,1.06904,-0.34968
2.478,0.60162,0.61578,-0.52194
2.489,0.65965,0.32501,-0.54149
2.499,0.54419,0.18207,-0.46941
2.510,0.27786,0.29202,-0.28737
2.520,-0.19923,0.52843,-0.04424
2.530,-0.62256,0.46306,0.14757
2.541,-1.00007,0.41725,0.27829
2.551,-1.34643,0.54126,0.24469
2.561,-1.52114,0.61700,0.23492
2.572,-1.55779,0.56019,0.23065
2.582,-1.49610,0.32073,0.20377
2.592,-1.46005,-0.08244,0.08831
2.602,-1.45517,-0.40986,0.00585
2.613,-1.44173,-0.91810,-0.14748
2.623,-1.42951,-1.26141,-0.27515
2.633,-1.33238,-1.65297,-0.50667
2.644,-1.15890,-1.98589,-0.78156
2.654,-0.85285,-2.06042,-1.11265
2.664,-0.54070,-1.93580,-1.42847
2.675,-0.14975,-1.80141,-1.52681
2.685,0.16790,-1.62548,-1.27147
2.695,0.30962,-1.39091,-0.67466
2.706,0.33406,-0.74095,0.07304
2.716,0.21311,0.20284,0.61549
2.726,0.01702,1.30911,0.85556
2.737,0.00113,1.89677,0.84456
2.747,0.12575,1.75688,0.53608
2.757,0.73295,0.27064,0.68757
2.767,1.98339,-0.70735,0.82074
2.778,3.24300,-3.57903,0.29723
2.788,3.05974,-6.36702,0.38458
2.798,2.10984,-2.76719,0.80486
2.809,0.58451,1.53819,0.64970
2.819,-0.74046,3.59131,0.40780
2.829,-1.47533,3.64017,0.16956
2.840,-1.41607,2.71105,0.16406
2.850,-0.75328,1.19183,0.17445
2.861,-0.14731,-0.13314,0.08648
2.871,-0.02086,-0.24004,0.18727
2.881,-0.13020,0.12648,0.34304
2.892,-0.27803,0.53942,0.41879
2.902,-0.34889,0.83569,0.42123
2.912,-0.32507,1.02262,0.39558
2.923,-0.19251,0.88884,0.50676
2.933,-0.11859,1.05866,0.29479
2.943,-0.09355,1.08920,0.33510
2.954,-0.02574,1.09531,0.42734
2.964,0.02923,1.07759,0.50309
2.974,0.10437,1.01651,0.59778
2.985,0.22960,0.75200,0.71812
2.995,0.37804,0.54675,0.75171
3.005,0.48128,0.28958,0.77126
3.016,0.68164,0.00369,0.85556
3.026,0.97302,-0.24798,0.89099
3.036,1.40735,-0.56930,0.85678
3.046,1.65841,-0.81242,0.74560
3.057,1.92597,-1.09953,0.47988
3.067,2.10190,-1.37136,0.02723
3.077,2.11473,-1.56195,-0.42359
3.088,1.99561,-1.68535,-0.83898
3.098,1.71583,-1.66458,-1.04240
3.108,1.45316,-1.35304,-0.95932
3.119,1.18560,-0.48561,-0.81332
3.129,0.77510,0.97619,-0.67160
3.139,0.04878,2.45265,-0.60991
3.150,-0.69464,3.07818,-0.85914
3.161,-1.06849,0.88456,-0.21712
3.172,1.51914,-5.33649,0.57578
3.182,1.63886,-6.59732,0.43956
3.192,0.62300,-2.21375,0.16712
3.203,-0.62989,1.36837,0.88549
3.213,-1.44906,2.84849,1.07242
3.223,-1.49854,2.88026,1.08402
3.233,-1.00435,2.33537,0.87938
3.244,-0.40570,1.92792,0.48965
3.254,0.04328,1.50520,0.16589
3.264,0.36704,1.13868,-0.01431
3.275,0.47211,0.91266,-0.09128
3.285,0.39514,0.79049,-0.04791
3.296,0.17096,0.81676,0.07732
3.306,-0.05506,0.99574,0.20621
3.316,-0.29208,1.08248,0.28929
3.327,-0.60729,1.07515,0.31556
3.337,-0.86019,1.03789,0.29967
3.348,-1.02817,0.82042,0.26241
3.358,-1.22060,0.92366,0.13596
3.369,-1.33177,0.99330,0.07732
3.379,-1.42462,0.78194,0.00279
3.389,-1.40935,0.29752,-0.13526
3.400,-1.29084,-0.44407,-0.27271
3.410,-1.18700,-0.89306,-0.38572
3.420,-1.07765,-1.22842,-0.58486
3.430,-0.91272,-1.58456,-0.88418
3.441,-0.75389,-1.74033,-1.14869
3.451,-0.51199,-1.67008,-1.53292
3.461,-0.24688,-1.49720,-1.80109
3.472,0.08605,-1.45383,-1.76383
3.482,0.26197,-1.44650,-1.33745
3.493,0.32550,-1.07876,-0.64534
3.503,0.27664,-0.62916,-0.01614
3.513,0.03473,0.39282,0.67535
3.524,-0.18457,1.06293,0.85556
3.534,-0.32934,1.70862,0.85984
3.544,-0.10027,1.52047,0.31739
3.555,0.69752,0.01591,-0.04913
3.565,1.90520,-0.14169,0.28807
3.576,2.65351,-0.66215,0.02906
3.586,3.32485,-3.05857,-0.46513
3.597,2.92657,-5.01090,-0.29470
3.607,2.10190,-1.54974,0.13963
3.617,0.75189,2.18326,0.22759
3.628,-0.36600,3.38728,0.38275
3.638,-0.72702,2.65790,0.27096
3.649,-0.40143,1.30423,0.06510
3.659,-0.20412,0.55103,-0.15848
3.669,-0.26276,0.28652,-0.23300
3.680,-0.53093,0.41847,-0.14076
3.690,-0.81742,0.55836,-0.04119
3.700,-1.05872,0.57363,0.07671
3.711,-1.11430,0.59501,0.09259
3.722,-1.05933,0.66465,0.10359
3.732,-0.92188,0.69275,0.12008
3.742,-0.71724,0.50521,0.27768
3.753,-0.46007,0.58341,0.31006
3.763,-0.35133,0.71963,0.21598
3.773,-0.22794,0.86074,0.32472
3.784,-0.07889,0.80759,0.46827
3.794,0.08055,0.58951,0.58128
3.804,0.29924,0.13686,0.64970
3.815,0.51854,-0.21988,0.72422
3.825,0.77754,-0.53448,0.76698
3.836,1.09764,-0.84724,0.63931
3.846,1.46232,-1.09892,0.33816
3.857,1.76531,-1.07876,-0.09006
3.867,1.96995,-0.85885,-0.72964
3.878,1.99072,-0.86251,-1.20061
3.888,1.76348,-1.22353,-1.33928
3.898,1.40002,-1.35059,-1.13586
3.909,1.07687,-1.25041,-0.95810
3.919,0.93332,-0.89122,-0.88907
3.929,0.93515,0.06539,-0.73147
3.940,0.88750,1.40868,-0.49873
3.950,0.71035,2.35003,-0.55432
3.960,0.48433,1.41113,-0.63190
3.971,2.10862,-3.15570,-0.47368
3.981,2.85937,-7.33219,1.52446
3.991,1.90826,-4.76594,0.79814
4.002,-0.08561,0.72940,1.16710
4.012,-1.64209,3.98470,1.39373
4.022,-1.99456,4.23027,1.44932
4.033,-1.47472,3.28038,1.28378
4.043,-0.57735,2.22052,0.82380
4.054,0.18806,1.28285,0.36198
4.064,0.78182,0.74162,0.11092
4.074,1.05060,0.42825,-0.03264
4.085,0.99623,0.40748,-0.05096
4.095,0.76472,0.59501,0.02906
4.106,0.41408,0.84302,0.13963
4.116,-0.03368,0.95054,0.25325
4.126,-0.40326,0.91449,0.33999
4.137,-0.67937,0.61700,0.47316
4.147,-0.91516,0.58524,0.44506
4.158,-1.16073,0.77277,0.42185
4.168,-1.24320,0.79599,0.44078
4.178,-1.26275,0.68481,0.41635
4.189,-1.24686,0.49605,0.35954
4.199,-1.23587,0.31707,0.27829
4.210,-1.23709,0.16985,0.17078
4.221,-1.27130,-0.00486,0.01134
4.231,-1.30428,-0.12459,-0.08456
4.242,-1.30001,-0.30785,-0.23728
4.252,-1.21754,-0.58152,-0.41321
4.262,-1.12164,-0.79837,-0.52927
4.273,-0.91883,-1.21437,-0.77728
4.283,-0.77466,-1.34387,-0.79927
4.293,-0.63661,-1.28706,-0.61479
4.304,-0.52299,-1.14229,-0.38144
4.314,-0.32507,-0.72629,0.05594
4.324,-0.18090,-0.34939,0.19888
4.335,0.00724,-0.01463,0.16773
4.345,0.28885,-0.02929,0.01073
4.355,0.71279,-0.21500,-0.08884
4.365,1.19843,-0.14841,-0.14259
4.376,1.63886,0.42947,-0.31180
4.386,1.97118,0.35677,-0.78339
4.396,2.29493,-1.84478,-1.21344
4.407,1.85817,-4.79771,-0.79866
4.417,0.88322,-2.78307,-0.37350
4.428,-0.31102,0.36594,-0.23239
4.438,-1.18028,2.12523,0.01196
4.448,-1.25419,2.01344,-0.03875
4.459,-0.77344,1.12402,-0.29959
4.469,-0.47901,0.37327,-0.54576
4.479,-0.37149,0.06112,-0.59097
4.490,-0.46373,0.07028,-0.50667
4.500,-0.70869,0.32929,-0.37533
4.511,-0.85530,0.45635,-0.32158
4.522,-0.91944,0.54736,-0.32707
4.532,-0.91089,0.65610,-0.32952
4.543,-0.83392,0.70436,-0.31180
4.553,-0.75389,0.63960,-0.20735
4.564,-0.69647,0.54126,-0.08823
4.574,-0.63355,0.46551,0.03334
4.584,-0.59507,0.46734,0.13168
4.595,-0.51260,0.37266,0.33571
4.605,-0.36050,0.53698,0.34854
4.616,-0.25909,0.59868,0.28746
4.626,-0.04346,0.51132,0.31189
4.636,0.34078,0.09593,0.33755
4.647,0.62605,-0.38604,0.32411
4.657,0.85085,-0.77210,0.24592
4.667,1.04449,-1.10808,0.12680
4.678,1.26074,-1.42940,-0.15420
4.688,1.50386,-1.58150,-0.54821
4.698,1.70606,-1.50331,-1.14441
4.709,1.78547,-1.45139,-1.60806
4.719,1.70484,-1.51736,-1.67709
4.729,1.56312,-1.40069,-1.47795
4.740,1.36764,-0.94987,-1.28247
4.750,1.17461,-0.02074,-1.13158
4.760,0.90399,1.65425,-0.79744
4.771,0.36765,3.25961,-0.61113
4.781,-0.44480,3.70309,-0.60258
4.791,-0.60484,0.06295,-0.22384
4.801,1.13001,-5.21248,1.70039
4.812,0.65232,-4.00664,1.49391
4.822,-0.09599,-0.99079,1.56416
4.832,-1.54680,2.38729,1.67656
4.843,-2.07520,3.20463,1.66435
4.853,-1.73739,2.70127,1.39984
4.863,-0.66776,2.06170,0.89710
4.874,0.40186,1.13196,0.24958
4.884,0.82092,0.83019,-0.05341
4.894,1.06343,0.72024,-0.26599
4.905,1.16606,0.61578,-0.35029
4.915,1.01395,0.51316,-0.29775
4.926,0.74089,0.49055,-0.19085
4.936,0.41775,0.50766,-0.02897
4.946,0.15202,0.55653,0.16406
4.957,-0.14059,0.66893,0.42979
4.967,-0.31163,0.75323,0.59289
4.978,-0.45274,0.82164,0.70284
4.988,-0.60851,0.83203,0.77432
4.998,-0.75634,0.76605,0.80180
5.009,-0.88095,0.62372,0.79631
5.019,-1.03489,0.35983,0.73155
5.029,-1.14607,0.03851,0.65886
5.039,-1.32750,0.04523,0.51775
5.050,-1.43501,0.11182,0.40596
5.060,-1.53702,0.04401,0.30822
5.070,-1.55413,-0.03357,0.29234
5.080,-1.57978,-0.38237,0.21293
5.091,-1.52175,-0.68292,0.06266
5.101,-1.39408,-0.89367,-0.16458
5.112,-1.16867,-1.30356,-0.45902
5.122,-0.64638,-1.74521,-0.87746
5.132,-0.30247,-1.76720,-0.91595
5.143,0.09704,-1.50026,-0.77850
5.153,0.45562,-0.92604,-0.36861
5.164,0.74944,-0.07266,0.33327
5.174,0.78182,0.73795,0.66986
5.184,0.64560,1.18205,0.64970
5.195,0.57840,1.16800,0.40841
5.205,0.78365,1.12158,0.26791
5.215,1.35603,0.69642,-0.03447
5.226,1.69873,0.27186,-0.39366
5.236,2.09457,-2.96939,-1.01185
5.246,1.34626,-3.86431,-0.44131
5.257,0.56008,-0.94987,-0.15481
5.267,-0.45701,1.90226,0.06632
5.277,-1.10697,2.45265,0.36076
5.288,-1.33544,1.68418,0.31067
5.298,-1.13874,1.00796,0.11825
5.308,-0.67509,0.10632,-0.11694
5.318,-0.38554,-0.12092,-0.15481
5.329,-0.39532,0.02630,-0.09372
5.339,-0.55292,0.24193,-0.04669
5.350,-0.73251,0.40381,-0.03691
5.360,-0.74962,0.41542,-0.05829
5.370,-0.68853,0.38487,-0.05646
5.381,-0.57002,0.39709,-0.01859
5.391,-0.38127,0.47650,0.04739
5.401,-0.20534,0.57669,0.10053
5.412,0.00419,0.55775,0.20804
5.422,0.08910,0.75078,0.20193
5.432,0.15691,0.86501,0.30212
5.443,0.26014,0.82836,0.38825
5.453,0.39759,0.64632,0.43223
5.463,0.55885,0.38121,0.46277
5.474,0.73234,0.03973,0.41818
5.484,0.88384,-0.15696,0.39558
5.494,1.08114,-0.42513,0.37909
5.505,1.25830,-0.71835,0.34549
5.515,1.43484,-0.93276,0.20132
5.525,1.57778,-1.00973,-0.02653
5.536,1.60588,-1.09525,-0.38450
5.546,1.56373,-1.20215,-0.87563
5.556,1.44461,-1.21010,-1.20611
5.567,1.41651,-0.97736,-1.37165
5.577,1.51303,-0.40009,-1.30935
5.587,1.61626,0.43802,-1.15358
5.598,1.42689,1.23825,-1.23543
5.608,0.50510,1.73000,-1.47611
5.618,-0.20534,1.03850,-0.99047
5.629,0.67797,-3.60957,0.31006
5.639,0.74944,-5.31633,1.34425
5.649,0.23143,-3.49840,1.01194
5.660,-0.50344,0.46184,1.38579
5.670,-1.04039,2.08613,1.44077
5.680,-1.22854,2.62919,1.34303
5.691,-0.84369,2.15944,0.98629
5.702,-0.13020,1.63287,0.53791
5.712,0.42446,1.05927,0.16834
5.722,0.74395,0.75384,-0.18108
5.733,0.78671,0.61273,-0.39305
5.743,0.76472,0.33295,-0.45352
5.753,0.66026,-0.00241,-0.34296
5.764,0.45318,-0.06167,-0.11510
5.774,0.13125,0.19367,0.17933
5.784,-0.14486,0.43985,0.42307
5.795,-0.34950,0.59257,0.56112
5.805,-0.57186,0.72696,0.64909
5.816,-0.75634,0.76544,0.65459
5.826,-0.97136,0.67870,0.61610
5.836,-1.08376,0.60112,0.57762
5.846,-1.21815,0.45757,0.50431
5.857,-1.27069,0.30607,0.45422
5.867,-1.31894,0.16863,0.39680
5.877,-1.35376,0.04890,0.32472
5.888,-1.39286,-0.23515,0.24592
5.898,-1.40630,-0.38115,0.13840
5.908,-1.48449,-0.49172,0.02906
5.918,-1.51381,-0.62244,-0.04852
5.929,-1.45211,-0.85702,-0.22017
5.939,-1.28718,-1.00240,-0.35273
5.949,-1.04283,-1.21376,-0.50484
5.960,-0.73557,-1.64747,-0.68626
5.970,-0.28231,-2.05065,-0.73208
5.981,0.08971,-1.96879,-0.51461
5.991,0.32428,-1.49170,-0.09495
6.002,0.43179,-0.73606,0.35404
6.013,0.39942,0.23032,0.54096
6.024,0.35910,0.97925,0.53180
6.034,0.47333,1.14174,0.22942
6.044,1.03411,0.87845,-0.03019
6.055,1.60710,0.32623,-0.25499
6.065,1.83434,-0.15391,-0.61663
6.075,1.76043,-2.39151,-1.24765
6.086,1.23875,-3.02253,-0.71620
6.096,0.74211,-1.33288,-0.10167
6.106,0.16973,0.69092,0.12497
6.117,-0.34950,1.48749,0.33510
6.127,-0.60057,1.19427,0.22209
6.137,-0.60301,0.64999,-0.06318
6.148,-0.54742,0.20100,-0.30081
6.158,-0.54559,0.00064,-0.40832
6.168,-0.63844,0.05134,-0.38816
6.178,-0.74962,0.20039,-0.30325
6.189,-0.81865,0.33478,-0.22750
6.199,-0.83514,0.40320,-0.19024
6.209,-0.81498,0.43985,-0.17619
6.220,-0.75878,0.46551,-0.17619
6.230,-0.65677,0.50644,-0.17008
6.240,-0.50527,0.52476,-0.10839
6.250,-0.36111,0.53637,-0.04363
6.261,-0.21694,0.58402,0.03517
6.271,-0.10454,0.65121,0.11886
6.281,0.01702,0.71718,0.20926
6.291,0.10254,0.70375,0.23614
6.302,0.23387,0.61700,0.32227
6.313,0.33589,0.45879,0.42612
6.324,0.41225,0.20589,0.51836
6.334,0.56374,-0.11970,0.53974
6.344,0.73662,-0.29502,0.49759
6.354,0.89911,-0.51249,0.35037
6.365,0.98463,-0.64443,0.24164
6.375,1.07870,-0.86618,-0.08762
6.385,1.06526,-1.08304,-0.53782
6.396,1.01761,-1.25530,-0.98986
6.406,0.95897,-1.27851,-1.22932
6.416,0.99501,-0.95903,-1.23421
6.427,1.11780,-0.17834,-1.07538
6.437,1.11169,0.78804,-0.95566
6.447,0.73173,1.52047,-1.07050
6.457,0.15141,1.84362,-1.27392
6.468,-0.26093,1.08370,-0.98314
