time,X_value,Y_value,Z_value
1.609,0.01521,0.28149,-0.03570
1.619,0.03720,0.28454,-0.04120
1.630,0.04148,0.26011,-0.06075
1.640,0.06164,0.23995,-0.06808
1.650,0.08790,0.23445,-0.05953
1.661,0.09218,0.24911,-0.07297
1.671,0.06713,0.24361,-0.07480
1.682,0.08057,0.24667,-0.07724
1.692,0.10745,0.22223,-0.09373
1.702,0.09768,0.20635,-0.12611
1.713,0.05980,0.15870,-0.13650
1.723,0.04026,0.14832,-0.16276
1.734,0.05675,0.14893,-0.16765
1.744,0.05431,0.13671,-0.15482
1.754,0.01216,0.12388,-0.15116
1.765,-0.06726,0.10983,-0.14077
1.775,-0.10941,0.02065,-0.12855
1.785,-0.09230,-0.04960,-0.09618
1.796,-0.01716,-0.01845,-0.11389
1.806,-0.00006,-0.05204,-0.11206
1.817,0.02437,-0.03128,-0.06808
1.827,0.09768,-0.00318,-0.05647
1.837,0.15876,0.01821,-0.04609
1.847,0.13005,0.02798,-0.02287
1.864,0.03476,0.02615,0.01439
1.874,0.02071,-0.00806,0.03516
1.885,-0.03366,-0.04655,0.03943
1.895,-0.01594,-0.03189,0.01439
1.906,0.06225,-0.04227,0.02661
1.916,0.09951,-0.01539,0.02294
1.927,0.10623,-0.00989,0.04371
1.937,0.10195,-0.01845,0.06142
1.948,0.08118,-0.02761,0.07792
1.959,0.08607,-0.07037,0.09441
1.969,0.09707,-0.13207,0.08952
1.979,0.10806,-0.15711,0.08219
1.990,0.14349,-0.15162,0.07486
2.000,0.14288,-0.13146,0.07547
2.011,0.11051,-0.11130,0.07670
2.021,0.10501,-0.08564,0.08464
2.033,0.09401,-0.03922,0.09075
2.043,0.10256,-0.04227,0.08647
2.053,0.13250,-0.05143,0.07364
2.063,0.14288,-0.04288,0.05898
2.074,0.15693,-0.03311,0.03821
2.084,0.16060,-0.03128,0.02172
2.095,0.14716,-0.04471,0.00523
2.105,0.12028,-0.09297,-0.01615
2.115,0.12395,-0.12718,-0.03143
2.125,0.13861,-0.14856,-0.04792
2.136,0.14594,-0.16994,-0.06014
2.146,0.16426,-0.17300,-0.06258
2.156,0.19603,-0.13634,-0.05525
2.167,0.22413,-0.07159,-0.04853
2.177,0.23940,-0.02700,-0.03937
2.187,0.26200,-0.01845,-0.04364
2.198,0.26872,-0.03494,-0.06197
2.209,0.26200,-0.05571,-0.07724
2.219,0.23818,-0.08870,-0.10045
2.229,0.24001,-0.11191,-0.11450
2.240,0.26322,-0.12840,-0.11695
2.250,0.29499,-0.14429,-0.11206
2.260,0.34141,-0.15528,-0.10778
2.272,0.37623,-0.16689,-0.10656
2.282,0.43182,-0.18827,-0.10962
2.292,0.47092,-0.20048,-0.11328
2.302,0.48863,-0.20659,-0.11695
2.313,0.48497,-0.20232,-0.11573
2.323,0.49413,-0.22431,-0.11512
2.333,0.52040,-0.24996,-0.12061
2.344,0.54056,-0.26218,-0.12550
2.354,0.56621,-0.28478,-0.13039
2.365,0.59126,-0.30433,-0.12611
2.375,0.62058,-0.33243,-0.12917
2.386,0.63463,-0.33976,-0.12978
2.396,0.63463,-0.36542,-0.12611
2.406,0.62424,-0.39352,-0.11817
2.417,0.60531,-0.42956,-0.11573
2.427,0.59859,-0.45522,-0.11695
2.437,0.59126,-0.48881,-0.12061
2.447,0.57232,-0.52180,-0.12794
2.458,0.55583,-0.54379,-0.13588
2.468,0.55583,-0.54379,-0.13588
2.478,0.55583,-0.54379,-0.13588
2.489,0.55583,-0.54379,-0.13588
2.499,0.54056,-0.53890,-0.19147
2.510,0.53200,-0.50531,-0.19208
2.520,0.52651,-0.51691,-0.19697
2.530,0.60958,-0.51447,-0.20369
2.540,0.73237,-0.49003,-0.21408
2.551,0.79040,-0.42467,-0.20552
2.561,0.78673,-0.31166,-0.16826
2.571,0.74886,-0.21576,-0.12306
2.582,0.71404,-0.11619,-0.07174
2.592,0.71526,-0.01845,-0.02898
2.602,0.72626,0.05486,-0.01005
2.613,0.75619,0.10312,0.00889
2.623,0.78185,0.13855,0.02294
2.633,0.79529,0.16298,0.03455
2.644,0.79712,0.18741,0.04615
2.654,0.77391,0.20391,0.05715
2.664,0.76230,0.21246,0.07242
2.674,0.74336,0.20941,0.08952
2.685,0.73237,0.20757,0.10541
2.695,0.74336,0.19719,0.12373
2.705,0.76169,0.18741,0.13717
2.715,0.77574,0.17275,0.14084
