time,X_value,Y_value,Z_value
1.53300,0.74099,-0.16015,-0.00581
1.54300,0.66707,-0.15526,-0.00275
1.55400,0.60293,-0.15526,0.01191
1.56400,0.54856,-0.13449,0.04306
1.57400,0.51252,-0.10639,0.07116
1.58400,0.49298,-0.07829,0.09559
1.59500,0.49237,-0.05752,0.11148
1.60500,0.49603,-0.04530,0.12736
1.61500,0.51313,-0.07096,0.13164
1.62600,0.53207,-0.09051,0.12186
1.63600,0.53757,-0.12594,0.11270
1.64600,0.53329,-0.12960,0.09071
1.65700,0.52169,-0.11433,0.06566
1.66700,0.50580,-0.09723,0.04611
1.67800,0.47709,-0.08440,0.02596
1.68800,0.47770,-0.08684,0.03268
1.69800,0.48137,-0.10150,0.02351
1.71000,0.49542,-0.14610,0.04673
1.72000,0.51924,-0.15770,0.06261
1.73000,0.53696,-0.13022,0.06261
1.74100,0.54185,-0.10456,0.05650
1.75100,0.54123,-0.08318,0.05222
1.76100,0.52169,-0.05141,0.04367
1.77200,0.48076,-0.01110,0.02779
1.78200,0.46427,0.00356,0.01985
1.79200,0.42761,0.02189,0.01374
1.80300,0.41112,0.04388,0.01679
1.81300,0.39035,0.06404,0.02718
1.82400,0.37447,0.08481,0.03268
1.83400,0.35981,0.09214,0.04367
1.84400,0.33904,0.09031,0.05039
1.85400,0.31460,0.08053,0.05772
1.86500,0.30116,0.07015,0.06200
1.87500,0.28895,0.06832,0.06261
1.88500,0.30727,0.06404,0.04795
1.89600,0.33537,0.06404,0.03940
1.90600,0.37997,0.05854,0.02596
1.91600,0.41845,0.04694,0.01313
1.92700,0.43311,0.03472,0.00580
1.93700,0.43311,0.02739,-0.00520
1.94800,0.41112,0.00784,-0.01925
1.95800,0.38485,-0.00499,-0.02108
1.96900,0.36225,-0.00865,-0.02047
1.97900,0.33232,-0.00987,-0.01680
1.98900,0.31033,0.00295,-0.01192
2.00000,0.31766,0.02128,-0.00214
2.01000,0.33843,0.05060,0.00885
2.02000,0.35614,0.06465,0.02046
2.03100,0.36286,0.07504,0.01985
2.04100,0.34698,0.07687,0.01130
2.05100,0.32193,0.07565,-0.00275
2.06200,0.29750,0.06648,-0.02291
2.07200,0.27978,0.05182,-0.03757
2.08200,0.27306,0.02922,-0.04918
2.09300,0.27245,0.00479,-0.05040
2.10300,0.28101,-0.01232,-0.04674
2.11300,0.28345,-0.00926,-0.03880
2.12400,0.29383,0.01089,-0.01986
2.13400,0.28834,0.02800,0.00335
2.14400,0.28406,0.03777,0.00824
2.15500,0.26879,0.04571,0.02351
2.16500,0.26146,0.05060,0.03329
2.17500,0.27001,0.06099,0.04062
2.18600,0.27062,0.08481,0.05772
2.19600,0.27978,0.10252,0.06872
2.20600,0.29506,0.12085,0.08277
2.21700,0.31460,0.14040,0.08949
2.22700,0.32377,0.14467,0.09804
2.23800,0.31766,0.12268,0.09682
2.24800,0.31277,0.11413,0.09987
2.25800,0.30055,0.04999,0.10415
2.26800,0.28834,0.02433,0.11759
2.27900,0.27795,0.02494,0.12980
2.28900,0.26818,0.03472,0.13041
2.30000,0.24680,0.04632,0.12431
2.31000,0.21442,0.04449,0.11209
2.32000,0.16433,0.02372,0.10476
2.33100,0.12768,0.00112,0.08949
2.34100,0.10263,-0.02026,0.07360
2.35100,0.09775,-0.03797,0.07177
2.36200,0.08186,-0.03431,0.05467
2.37200,0.06842,-0.02881,0.04978
2.38200,0.07514,-0.01598,0.05039
2.39200,0.08614,-0.00132,0.05039
2.40300,0.08858,0.01456,0.04795
2.41300,0.08553,0.02128,0.04123
2.42300,0.08064,0.02556,0.03512
2.43400,0.06781,0.03411,0.01924
2.44400,0.03605,0.03350,0.01252
2.45500,0.01161,0.04388,0.00030
2.46500,-0.00732,0.04388,-0.00092
2.47600,-0.02198,0.04571,0.00274
2.48600,-0.02320,0.04755,0.00824
2.49600,-0.02992,0.04510,0.00763
2.50700,-0.04825,0.04388,-0.00031
2.51700,-0.09162,0.03411,-0.00581
2.52800,-0.11422,0.02372,-0.00642
2.53800,-0.12644,0.01028,-0.00581
2.54800,-0.14171,0.00234,-0.00703
2.55900,-0.15454,0.00112,-0.01680
2.56900,-0.17103,0.00540,-0.02352
2.58000,-0.17531,0.01639,-0.02597
2.59000,-0.17653,0.02617,-0.02658
2.60000,-0.18570,0.02617,-0.02719
2.61000,-0.19730,0.03350,-0.02475
2.62100,-0.21807,0.03289,-0.02475
2.63200,-0.23579,0.03289,-0.02230
2.64200,-0.26083,0.03228,-0.01680
2.65200,-0.29260,0.03716,-0.01070
2.66300,-0.32436,0.04694,-0.00214
2.67300,-0.34819,0.05671,0.00580
2.68300,-0.38484,0.07381,0.01985
2.69400,-0.43004,0.10069,0.03695
2.70400,-0.46730,0.12818,0.05100
2.71500,-0.50151,0.15139,0.06505
2.72500,-0.52839,0.16544,0.07910
2.73500,-0.56260,0.17583,0.08399
2.74500,-0.59375,0.17705,0.07849
2.75600,-0.61636,0.16544,0.07116
2.76600,-0.64018,0.14651,0.06750
2.77600,-0.66400,0.11596,0.06139
2.78700,-0.67866,0.09214,0.05528
2.79800,-0.69516,0.07137,0.05528
2.80800,-0.70310,0.06404,0.05650
2.81800,-0.72998,0.07137,0.05711
2.82900,-0.74097,0.08664,0.05772
2.83900,-0.74403,0.09825,0.06139
2.84900,-0.75197,0.10069,0.05650
2.86000,-0.76541,0.07809,0.04611
2.87000,-0.77946,0.05182,0.03940
2.88000,-0.80756,0.02556,0.02657
2.89100,-0.83260,0.01945,0.01313
2.90100,-0.84971,0.03166,0.00274
2.91200,-0.84543,0.02067,-0.01619
2.92200,-0.83932,0.02128,-0.04063
2.93200,-0.83016,0.01517,-0.05651
2.94200,-0.83199,0.01028,-0.07789
2.95300,-0.83688,-0.00010,-0.08828
2.96300,-0.85948,-0.01232,-0.09988
2.97400,-0.90285,-0.01476,-0.10904
